County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
United States,00000,"78,538",N/A
Minnesota,27000,"87,556",14 of 52
Mahnomen County,27087,"53,925","2,425"
Wadena County,27159,"56,882","2,198"
Aitkin County,27001,"59,498","1,965"
Swift County,27151,"62,601","1,665"
Martin County,27091,"62,969","1,628"
Todd County,27153,"63,039","1,625"
Faribault County,27043,"64,391","1,517"
Clearwater County,27029,"64,934","1,439"
Cass County,27021,"64,937","1,438"
Big Stone County,27011,"65,475","1,385"
Nobles County,27105,"65,509","1,383"
Traverse County,27155,"65,931","1,360"
Pipestone County,27117,"66,073","1,345"
Itasca County,27061,"66,380","1,323"
Redwood County,27127,"67,024","1,285"
Beltrami County,27007,"67,257","1,270"
Lincoln County,27081,"67,715","1,227"
Cottonwood County,27033,"68,239","1,182"
Morrison County,27097,"68,640","1,148"
Brown County,27015,"68,690","1,147"
Freeborn County,27047,"69,012","1,121"
Renville County,27129,"69,086","1,115"
Koochiching County,27071,"69,115","1,111"
Polk County,27119,"69,136","1,110"
Chippewa County,27023,"69,192","1,105"
St. Louis County,27137,"69,455","1,096"
Kittson County,27069,"69,615","1,087"
Wilkin County,27167,"69,635","1,084"
Pine County,27115,"69,666","1,082"
Norman County,27107,"69,833","1,068"
Jackson County,27063,"69,955","1,060"
Lake of the Woods County,27077,"70,091","1,050"
Winona County,27169,"70,198","1,040"
Watonwan County,27165,"70,593","1,007"
Hubbard County,27057,"70,622","1,004"
Rock County,27133,"70,698",999
Otter Tail County,27111,"70,912",983
Stevens County,27149,"71,060",973
Becker County,27005,"71,117",969
Crow Wing County,27035,"71,343",951
Mille Lacs County,27095,"71,455",940
Benton County,27009,"71,480",936
Mower County,27099,"71,495",932
Yellow Medicine County,27173,"71,573",930
Lac qui Parle County,27073,"71,639",928
Cook County,27031,"71,643",927
Marshall County,27089,"71,701",922
Kanabec County,27065,"71,915",903
Pope County,27121,"72,205",888
Pennington County,27113,"72,561",856
Blue Earth County,27013,"72,623",846
Lyon County,27083,"72,761",837
Grant County,27051,"72,957",817
Roseau County,27135,"73,611",786
Murray County,27101,"74,475",738
Meeker County,27093,"75,037",708
Waseca County,27161,"75,052",707
Kandiyohi County,27067,"75,097",705
Fillmore County,27045,"75,225",703
Lake County,27075,"75,621",688
Sibley County,27143,"76,082",671
Stearns County,27145,"76,447",653
Houston County,27055,"77,087",621
Douglas County,27041,"77,264",618
Red Lake County,27125,"77,500",600
Clay County,27027,"77,664",593
McLeod County,27085,"78,468",560
Carlton County,27017,"80,042",505
Wabasha County,27157,"80,133",502
Nicollet County,27103,"80,362",495
Ramsey County,27123,"81,004",475
Goodhue County,27049,"82,749",425
Rice County,27131,"82,792",420
Steele County,27147,"83,448",398
Isanti County,27059,"86,573",319
Le Sueur County,27079,"90,218",247
Dodge County,27039,"92,943",224
Olmsted County,27109,"93,494",218
Hennepin County,27053,"96,339",177
Chisago County,27025,"98,260",163
Anoka County,27003,"98,764",158
Sherburne County,27141,"102,965",120
Dakota County,27037,"105,212",111
Wright County,27171,"106,666",104
Washington County,27163,"114,457",60
Scott County,27139,"120,247",46
Carver County,27019,"123,144",36
