"percent_unemp","income","county"
"0.9",72205,"Pope County"
"1.5",77500,"Red Lake County"
"1.5",71060,"Stevens County"
"1.6",80362,"Nicollet County"
"1.8",71639,"Lac qui Parle County"
"1.8",70091,"Lake of the Woods County"
"1.9",77087,"Houston County"
"1.9",67024,"Redwood County"
"2.1",106666,"Wright County"
"2.2",80133,"Wabasha County"
"2.4",71643,"Cook County"
"2.4",69955,"Jackson County"
"2.4",75621,"Lake County"
"2.5",69086,"Renville County"
"2.6",68690,"Brown County"
"2.6",75037,"Meeker County"
"2.6",74475,"Murray County"
"2.6",65509,"Nobles County"
"2.6",70698,"Rock County"
"2.7",77264,"Douglas County"
"2.7",67715,"Lincoln County"
"2.8",72561,"Pennington County"
"2.9",75225,"Fillmore County"
"3",65475,"Big Stone County"
"3",71701,"Marshall County"
"3",66073,"Pipestone County"
"3",120247,"Scott County"
"3",70198,"Winona County"
"3.1",123144,"Carver County"
"3.1",92943,"Dodge County"
"3.1",72957,"Grant County"
"3.1",83448,"Steele County"
"3.3",78468,"McLeod County"
"3.3",102965,"Sherburne County"
"3.3",114457,"Washington County"
"3.4",72761,"Lyon County"
"3.4",71573,"Yellow Medicine County"
"3.5",68640,"Morrison County"
"3.6",105212,"Dakota County"
"3.6",82749,"Goodhue County"
"3.6",75097,"Kandiyohi County"
"3.6",93494,"Olmsted County"
"3.6",69136,"Polk County"
"3.7",71495,"Mower County"
"3.8",64391,"Faribault County"
"3.8",69012,"Freeborn County"
"3.9",98764,"Anoka County"
"3.9",98260,"Chisago County"
"3.9",77664,"Clay County"
"3.9",68239,"Cottonwood County"
"3.9",76082,"Sibley County"
"4",71117,"Becker County"
"4",71480,"Benton County"
"4",80042,"Carlton County"
"4",62601,"Swift County"
"4",75052,"Waseca County"
"4.1",86573,"Isanti County"
"4.1",90218,"Le Sueur County"
"4.2",72623,"Blue Earth County"
"4.2",69115,"Koochiching County"
"4.2",73611,"Roseau County"
"4.3",96339,"Hennepin County"
"4.3",76447,"Stearns County"
"4.4",69192,"Chippewa County"
"4.4",69615,"Kittson County"
"4.4",62969,"Martin County"
"4.4",71455,"Mille Lacs County"
"4.5",69455,"St. Louis County"
"4.5",63039,"Todd County"
"4.6",70622,"Hubbard County"
"4.6",82792,"Rice County"
"4.7",81004,"Ramsey County"
"4.7",69635,"Wilkin County"
"4.9",71915,"Kanabec County"
"4.9",65931,"Traverse County"
"5.1",67257,"Beltrami County"
"5.1",69833,"Norman County"
"5.1",70912,"Otter Tail County"
"5.2",71343,"Crow Wing County"
"5.5",70593,"Watonwan County"
"5.8",59498,"Aitkin County"
"5.8",66380,"Itasca County"
"5.8",56882,"Wadena County"
"5.9",64937,"Cass County"
"6",69666,"Pine County"
"7.4",64934,"Clearwater County"
"10.2",53925,"Mahnomen County"
